category,ambig_bias_score,ambig_accuracy,disambig_bias_score,disambig_accuracy,accuracy_cost
Sexual_orientation,22.15909090909091,11.363636363636363,15.384615384615374,48.64864864864865,-17.672413793103445
Disability_status,-3.562801932367147,14.492753623188406,12.72727272727272,53.65853658536586,-8.350168350168346
SES,-8.361132291269538,7.267441860465117,12.280701754385959,49.848942598187314,-5.466034755134281
Age,-0.6006150297905034,27.325581395348834,7.692307692307687,48.484848484848484,-2.577319587628871
Nationality,-5.006418485237489,4.878048780487805,4.081632653061229,44.11764705882353,-15.458937198067623
Physical_appearance,8.658536585365862,13.414634146341465,0.0,36.76470588235294,5.69105691056911
Religion,5.79545454545454,36.25,0.0,37.878787878787875,-9.027777777777771
Gender_identity,-2.9210241615578787,8.47457627118644,-0.5347593582887722,47.22222222222222,-1.4099108438731136
Race_x_gender,-1.6173369865485023,18.39799749687109,-5.376344086021501,38.35125448028674,2.5570655759334997
Race_ethnicity,-8.503036798856739,23.47266881028939,-6.382978723404253,41.359773371104815,2.647685853792723
Race_x_SES,-0.4796810699588484,35.24305555555556,-9.433962264150942,39.01996370235935,7.097207704942512
