category,question_index,example_id,target_loc,label_type,Known_stereotyped_race,Known_stereotyped_var2,Relevant_social_values,corr_ans_aligns_var2,corr_ans_aligns_race,full_cond,Known_stereotyped_groups
Race_ethnicity,1,0,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,1,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,2,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,3,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,4,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,5,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,6,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,7,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,8,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,9,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,10,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,11,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,12,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,13,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,14,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,15,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,16,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,17,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,18,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,19,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,20,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,21,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,22,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,23,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,24,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
Race_ethnicity,1,25,,label,,,criminality,,,,"Black, African American, Hispanic, Latino"
